provider,sku_id,description,resource_family,resource_group,usage_type,regions,hourly_price_usd,currency,source,accelerator
GCP,03D0-F0A3-AF2E,Commitment v1: Nvidia Tesla A100 80GB GPU running in Salt Lake City for 3 Years,Compute,GPU,Commit3Yr,us-west3,3.722411,USD,GCP Cloud Billing Catalog API,A100
GCP,03E4-CDDA-FFF4,Nvidia Tesla T4 GPU attached to DWS Defined Duration VMs running in Columbus,Compute,GPU,OnDemand,us-east5,0.35,USD,GCP Cloud Billing Catalog API,T4
GCP,03E9-141A-30EF,Commitment v1: Nvidia L4 GPU running in Doha for 3 Years,Compute,GPU,Commit3Yr,me-central1,0.306202,USD,GCP Cloud Billing Catalog API,L4
GCP,042D-2487-8848,Nvidia Tesla P100 GPU attached to Spot Preemptible VMs running in Dallas,Compute,GPU,Preemptible,us-south1,0.2067,USD,GCP Cloud Billing Catalog API,P100
GCP,043B-4B79-895C,Commitment v1: Capacity Optimized TpuV6e running in Netherlands for 3 Years,Compute,TPU,Commit3Yr,europe-west4,1.34,USD,GCP Cloud Billing Catalog API,TPU v6e
GCP,043C-C056-06B3,Reserved TpuV5p in Columbus in Calendar Mode,Compute,TPU,OnDemand,us-east5,2.94,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,044E-8CD0-C9A5,Nvidia Tesla P100 GPU running in Salt Lake City,Compute,GPU,OnDemand,us-west3,1.752,USD,GCP Cloud Billing Catalog API,P100
GCP,045C-DFFC-E33A,Commitment v1: TpuV5p running in Jakarta for 3 Years,Compute,TPU,Commit3Yr,asia-southeast2,2.447354,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,04C3-5B71-D137,TpuV5e running in Delhi,Compute,TPU,OnDemand,asia-south2,1.44132,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,0517-272F-9052,Commitment v1: TpuV5e running in Berlin for 1 Year,Compute,TPU,Commit1Yr,europe-west10,1.2936,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,0525-CC34-3151,Nvidia Tesla V100 GPU running in Netherlands,Compute,GPU,OnDemand,europe-west4,2.55,USD,GCP Cloud Billing Catalog API,V100
GCP,0526-B904-9D8B,Nvidia H100 80GB GPU running in Sao Paulo,Compute,GPU,OnDemand,southamerica-east1,15.55594,USD,GCP Cloud Billing Catalog API,H100
GCP,0545-AFC9-E1C6,Commitment v1: Nvidia H100 80GB GPU running in Paris for 3 Years,Compute,GPU,Commit3Yr,europe-west9,4.987882,USD,GCP Cloud Billing Catalog API,H100
GCP,055E-FE54-25BE,Commitment v1: TpuV5e running in Las Vegas for 3 Years,Compute,TPU,Commit3Yr,us-west4,0.54,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,0561-8741-3BC7,TpuV5e attached to Spot Preemptible VMs running in Singapore,Compute,TPU,Preemptible,asia-southeast1,0.78,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,05A2-7B95-4ACD,Nvidia Tesla T4 GPU attached to DWS Defined Duration VMs running in Stockholm,Compute,GPU,OnDemand,europe-north2,0.385,USD,GCP Cloud Billing Catalog API,T4
GCP,05FC-B8C1-D487,TpuV5p attached to Spot Preemptible VMs running in Las Vegas,Compute,TPU,Preemptible,us-west4,0.874851,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,061E-8DDA-FAF3,Nvidia Tesla P100 GPU attached to Spot Preemptible VMs running in Turin,Compute,GPU,Preemptible,europe-west12,0.226,USD,GCP Cloud Billing Catalog API,P100
GCP,06D5-402A-8764,Commitment v1: TpuV5e running in Milan for 3 Years,Compute,TPU,Commit3Yr,europe-west8,0.6264,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,06E7-816A-94A1,Commitment v1: Nvidia Tesla T4 GPU running in Milan for 1 Year,Compute,GPU,Commit1Yr,europe-west8,0.2552,USD,GCP Cloud Billing Catalog API,T4
GCP,06F6-1C8D-092C,Nvidia Tesla P100 GPU attached to Spot Preemptible VMs running in Santiago,Compute,GPU,Preemptible,southamerica-west1,0.2506,USD,GCP Cloud Billing Catalog API,P100
GCP,0703-53FC-6237,Nvidia Tesla T4 GPU attached to Spot Preemptible VMs running in Phoenix,Compute,GPU,Preemptible,us-west8,0.0874,USD,GCP Cloud Billing Catalog API,T4
GCP,0728-1251-34E1,Nvidia Tesla T4 GPU attached to Spot Preemptible VMs running in Columbus,Compute,GPU,Preemptible,us-east5,0.0448,USD,GCP Cloud Billing Catalog API,T4
GCP,0773-51C2-96A8,Nvidia L4 GPU running in Sao Paulo,Compute,GPU,OnDemand,southamerica-east1,0.8892879,USD,GCP Cloud Billing Catalog API,L4
GCP,0799-07A0-6FEB,Commitment v1: Nvidia Tesla A100 GPU running in Jakarta for 1 Year,Compute,GPU,Commit1Yr,asia-southeast2,2.106292587,USD,GCP Cloud Billing Catalog API,A100
GCP,07C2-DD22-3536,Commitment v1: Nvidia H100 80GB Mega GPU running in Frankfurt for 1 Year,Compute,GPU,Commit1Yr,europe-west3,8.39404,USD,GCP Cloud Billing Catalog API,H100
GCP,07C8-D43B-A87E,Nvidia H100 80GB GPU running in Turin,Compute,GPU,OnDemand,europe-west12,12.63755,USD,GCP Cloud Billing Catalog API,H100
GCP,07D3-8753-DC36,A4 Nvidia B200 (1 gpu slice) attached to DWS Defined Duration VMs running in Galaxy Frankfurt,Compute,GPU,OnDemand,europe-west5,8.055,USD,GCP Cloud Billing Catalog API,Blackwell (B200)
GCP,07E9-A038-2EDF,Nvidia Tesla P4 GPU running in Seoul,Compute,GPU,OnDemand,asia-northeast3,0.65,USD,GCP Cloud Billing Catalog API,P4
GCP,07FB-1AFF-67BA,1/8 vGPU no lssd attached to DWS Defined Duration VMs running in Dammam,Compute,GPU,OnDemand,me-central2,0.32344,USD,GCP Cloud Billing Catalog API,T4 Fractional
GCP,082F-763E-B398,TpuV5p running in Sao Paulo,Compute,TPU,OnDemand,southamerica-east1,6.430995,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,0839-37A3-7571,Commitment v1: Nvidia Tesla A100 GPU running in Warsaw for 3 Year,Compute,GPU,Commit3Yr,europe-central2,1.155244678,USD,GCP Cloud Billing Catalog API,A100
GCP,0853-0C42-615B,Nvidia Tesla A100 GPU attached to DWS Defined Duration VMs running in Tokyo,Compute,GPU,OnDemand,asia-northeast1,1.705858,USD,GCP Cloud Billing Catalog API,A100
GCP,085B-C841-200A,Reserved H200 141GB GPU in Toronto in Calendar Mode,Compute,GPU,OnDemand,northamerica-northeast2,6.474452822,USD,GCP Cloud Billing Catalog API,H200
GCP,085D-A208-A74B,Commitment v1: Nvidia Tesla A100 GPU running in Sao Paulo for 1 Year,Compute,GPU,Commit1Yr,southamerica-east1,2.520493674,USD,GCP Cloud Billing Catalog API,A100
GCP,0885-7D3B-C13E,Commitment v1: Nvidia L4 GPU running in Dammam for 1 Year,Compute,GPU,Commit1Yr,me-central2,0.5645206,USD,GCP Cloud Billing Catalog API,L4
GCP,088C-6492-3BB3,Nvidia H100 80GB GPU running in Netherlands,Compute,GPU,OnDemand,europe-west4,12.735516,USD,GCP Cloud Billing Catalog API,H100
GCP,08A7-BDDD-E250,Nvidia Tesla A100 GPU attached to Spot Preemptible VMs running in Israel,Compute,GPU,Preemptible,me-west1,1.2831,USD,GCP Cloud Billing Catalog API,A100
GCP,08B1-55E8-AFB5,Nvidia Tesla A100 80GB GPU attached to Spot Preemptible VMs running in Paris,Compute,GPU,Preemptible,europe-west9,0.7427,USD,GCP Cloud Billing Catalog API,A100
GCP,0937-E47E-3BDE,Commitment v1: TpuV5e running in Turin for 3 Years,Compute,TPU,Commit3Yr,europe-west12,0.6966,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,093E-7061-9626,Spot Preemptible 1/8 vGPU no lssd running in Netherlands,Compute,GPU,Preemptible,europe-west4,0.28463,USD,GCP Cloud Billing Catalog API,T4 Fractional
GCP,0945-3B93-9ED9,Nvidia Tesla V100 GPU attached to Spot Preemptible VMs running in Dallas,Compute,GPU,Preemptible,us-south1,0.3559,USD,GCP Cloud Billing Catalog API,V100
GCP,0957-1C48-7C8D,Commitment v1: TpuV5p running in Mumbai for 1 Year,Compute,TPU,Commit1Yr,asia-south1,2.9536,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,096A-F0D6-1ADC,Nvidia Tesla P4 GPU running in Turin,Compute,GPU,OnDemand,europe-west12,0.774,USD,GCP Cloud Billing Catalog API,P4
GCP,097F-10BC-11B9,TpuV5e running in London,Compute,TPU,OnDemand,europe-west2,1.368,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,09AF-ED36-541A,Commitment v1: Nvidia H100 80GB GPU running in Frankfurt for 3 Years,Compute,GPU,Commit3Yr,europe-west3,5.07388,USD,GCP Cloud Billing Catalog API,H100
GCP,09DD-77DA-37A9,Nvidia Tesla P4 GPU attached to Spot Preemptible VMs running in Montreal,Compute,GPU,Preemptible,northamerica-northeast1,0.0614,USD,GCP Cloud Billing Catalog API,P4
GCP,0A7E-DC5B-DD8D,Reserved Nvidia H100 80GB Mega GPU in Tokyo in Calendar Mode,Compute,GPU,OnDemand,asia-northeast1,4.841121033,USD,GCP Cloud Billing Catalog API,H100
GCP,0A85-E80E-A6FB,Commitment v1: Nvidia Tesla A100 GPU running in Doha for 3 Years,Compute,GPU,Commit3Yr,me-central1,1.247644,USD,GCP Cloud Billing Catalog API,A100
GCP,0AA1-9606-97E3,Nvidia Tesla A100 GPU running in Madrid,Compute,GPU,OnDemand,europe-southwest1,3.462011,USD,GCP Cloud Billing Catalog API,A100
GCP,0AC5-C084-1BE4,Nvidia Tesla V100 GPU running in Israel,Compute,GPU,OnDemand,me-west1,2.728,USD,GCP Cloud Billing Catalog API,V100
GCP,0ACA-AF40-1A66,Nvidia H100 80GB Mega GPU attached to Spot Preemptible VMs running in Tokyo,Compute,GPU,Preemptible,asia-northeast1,2.511,USD,GCP Cloud Billing Catalog API,H100
GCP,0AF9-2EA1-5BEE,Commitment v1: Nvidia Tesla P100 GPU running in Phoenix for 1 Year,Compute,GPU,Commit1Yr,us-west8,0.919,USD,GCP Cloud Billing Catalog API,P100
GCP,0AF9-B99E-DBF4,DWS Calendar Mode A4 Nvidia B200 (1 gpu slice) in Alabama,Compute,GPU,OnDemand,us-east7,11.277,USD,GCP Cloud Billing Catalog API,Blackwell (B200)
GCP,0B39-4F0D-21CD,Commitment v1: Capacity Optimized TpuV6e running in Mumbai for 3 Years,Compute,TPU,Commit3Yr,asia-south1,1.46,USD,GCP Cloud Billing Catalog API,TPU v6e
GCP,0B49-EBFF-2E06,Commitment v1: 1/8 vGPU in Tokyo for 1 Year,Compute,GPU,Commit1Yr,asia-northeast1,0.58024,USD,GCP Cloud Billing Catalog API,T4 Fractional
GCP,0B6F-B626-A439,Commitment v1: TpuV5p running in Dallas for 1 Year,Compute,TPU,Commit1Yr,us-south1,3.3512,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,0B85-B65B-0812,Nvidia H100 80GB GPU running in Virginia,Compute,GPU,OnDemand,us-east4,9.796551,USD,GCP Cloud Billing Catalog API,H100
GCP,0B8F-3665-2FF2,Nvidia L4 GPU attached to Spot Preemptible VMs running in Dammam,Compute,GPU,Preemptible,me-central2,0.448,USD,GCP Cloud Billing Catalog API,L4
GCP,0B94-5FED-D396,Nvidia Tesla P100 GPU running in Madrid,Compute,GPU,OnDemand,europe-southwest1,1.7228,USD,GCP Cloud Billing Catalog API,P100
GCP,0BE9-4C70-DE40,Spot Preemptible 1/8 vGPU no lssd running in Taiwan,Compute,GPU,Preemptible,asia-east1,0.33638,USD,GCP Cloud Billing Catalog API,T4 Fractional
GCP,0BEC-93C3-3036,Nvidia Tesla A100 GPU attached to Spot Preemptible VMs running in EMEA,Compute,GPU,Preemptible,europe-west1,1.1149,USD,GCP Cloud Billing Catalog API,A100
GCP,0BEE-9153-BAAF,Commitment v1: Nvidia H100 80GB GPU running in Toronto for 3 Years,Compute,GPU,Commit3Yr,northamerica-northeast2,4.734618,USD,GCP Cloud Billing Catalog API,H100
GCP,0BF8-622D-CDF7,Nvidia Tesla A100 GPU attached to DWS Defined Duration VMs running in Americas,Compute,GPU,OnDemand,"us-central1,us-east1,us-west1",1.613649,USD,GCP Cloud Billing Catalog API,A100
GCP,0BFC-D96C-F4D1,Nvidia Tesla A100 80GB GPU running in Las Vegas,Compute,GPU,OnDemand,us-west4,4.424197,USD,GCP Cloud Billing Catalog API,A100
GCP,0C14-D702-D6D0,Nvidia H100 80GB GPU attached to Spot Preemptible VMs running in Belgium,Compute,GPU,Preemptible,europe-west1,3.306,USD,GCP Cloud Billing Catalog API,H100
GCP,0C34-0A80-3563,Reserved TpuV5p in Zurich in Calendar Mode,Compute,TPU,OnDemand,europe-west6,2.94,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,0C35-3E03-7F4B,Commitment v1: Nvidia Tesla T4 GPU running in Dammam for 1 Year,Compute,GPU,Commit1Yr,me-central2,0.352,USD,GCP Cloud Billing Catalog API,T4
GCP,0C36-AFF2-C0F1,Nvidia Tesla T4 GPU running in Melbourne,Compute,GPU,OnDemand,australia-southeast2,0.497,USD,GCP Cloud Billing Catalog API,T4
GCP,0C45-8533-FBEA,DWS Calendar Mode A4 Nvidia B200 (1 gpu slice) in Toronto,Compute,GPU,OnDemand,northamerica-northeast2,11.277,USD,GCP Cloud Billing Catalog API,Blackwell (B200)
GCP,0C4D-56CC-9AD6,1/8 vGPU no lssd attached to DWS Defined Duration VMs running in Phoenix,Compute,GPU,OnDemand,us-west8,0.32344,USD,GCP Cloud Billing Catalog API,T4 Fractional
GCP,0C59-D5C9-D1A8,Commitment v1: TpuV5e running in Finland for 3 Years,Compute,TPU,Commit3Yr,europe-north1,0.594594,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,0C60-5B8F-65BF,Nvidia Tesla P4 GPU running in Zurich,Compute,GPU,OnDemand,europe-west6,0.84,USD,GCP Cloud Billing Catalog API,P4
GCP,0C7C-4928-2142,Nvidia Tesla P100 GPU running in Columbus,Compute,GPU,OnDemand,us-east5,1.46,USD,GCP Cloud Billing Catalog API,P100
GCP,0C8C-4107-7A5E,Commitment v1: Nvidia Tesla V100 GPU running in Berlin for 1 Year,Compute,GPU,Commit1Yr,europe-west10,2.40548,USD,GCP Cloud Billing Catalog API,V100
GCP,0CB0-4673-1E49,Commitment v1: TpuV5p running in Dallas for 3 Years,Compute,TPU,Commit3Yr,us-south1,2.1476,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,0CB5-75B1-6C16,Commitment v1: Nvidia Tesla A100 GPU running in Frankfurt for 3 Year,Compute,GPU,Commit3Yr,europe-west3,1.155244678,USD,GCP Cloud Billing Catalog API,A100
GCP,0D20-538F-E94C,Nvidia H100 80GB GPU attached to Spot Preemptible VMs running in Berlin,Compute,GPU,Preemptible,europe-west10,1.3708,USD,GCP Cloud Billing Catalog API,H100
GCP,0D2A-8332-825D,Commitment v1: Nvidia L4 GPU running in Singapore for 1 Year,Compute,GPU,Commit1Yr,asia-southeast1,0.4352806,USD,GCP Cloud Billing Catalog API,L4
GCP,0D32-422E-FA43,Commitment v1: Nvidia Tesla T4 GPU running in Las Vegas for 3 Year,Compute,GPU,Commit3Yr,us-west4,0.17,USD,GCP Cloud Billing Catalog API,T4
GCP,0D36-8AA8-23AF,DWS Calendar Mode A4 Nvidia B200 (1 gpu slice) in Osaka,Compute,GPU,OnDemand,asia-northeast2,11.277,USD,GCP Cloud Billing Catalog API,Blackwell (B200)
GCP,0D62-739D-40FC,Nvidia Tesla P4 GPU running in Israel,Compute,GPU,OnDemand,me-west1,0.66,USD,GCP Cloud Billing Catalog API,P4
GCP,0D7A-8F89-67ED,Commitment v1: TpuV5e running in Israel for 3 Years,Compute,TPU,Commit3Yr,me-west1,0.594,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,0D7D-2622-A1A0,Commitment v1: Nvidia Tesla T4 GPU running in Japan for 1 Year,Compute,GPU,Commit1Yr,asia-northeast1,0.23,USD,GCP Cloud Billing Catalog API,T4
GCP,0D84-873D-A330,Nvidia H100 80GB GPU attached to DWS Defined Duration VMs running in Tokyo,Compute,GPU,OnDemand,asia-northeast1,4.200761,USD,GCP Cloud Billing Catalog API,H100
GCP,0D90-CC9E-5C98,Nvidia Tesla A100 GPU running in Los Angeles,Compute,GPU,OnDemand,us-west2,3.436863684,USD,GCP Cloud Billing Catalog API,A100
GCP,0D92-FB55-1A3F,Commitment v1: Nvidia Tesla P100 GPU running in Salt Lake City for 3 Year,Compute,GPU,Commit3Yr,us-west3,0.788,USD,GCP Cloud Billing Catalog API,P100
GCP,0D98-7CCF-B069,Reserved TpuV5p in Oklahoma in Calendar Mode,Compute,TPU,OnDemand,us-central2,2.94,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,0E03-A650-5ECC,Reserved TpuV5p in Netherlands in Calendar Mode,Compute,TPU,OnDemand,europe-west4,2.94,USD,GCP Cloud Billing Catalog API,TPU v5p
GCP,0E40-BE27-5DD7,TpuV6e attached to Spot Preemptible VMs running in Singapore,Compute,TPU,Preemptible,asia-southeast1,0.2673,USD,GCP Cloud Billing Catalog API,TPU v6e
GCP,0E47-775C-4491,Reserved V5e TPU in Sao Paulo in Calendar Mode,Compute,TPU,OnDemand,southamerica-east1,0.84,USD,GCP Cloud Billing Catalog API,TPU v5e
GCP,0E54-E9EC-6CA5,Commitment v1: Nvidia Tesla A100 80GB GPU running in Delhi for 1 Year,Compute,GPU,Commit1Yr,asia-south2,4.181137,USD,GCP Cloud Billing Catalog API,A100
GCP,0E57-B179-37BA,Nvidia Tesla A100 80GB GPU running in Paris,Compute,GPU,OnDemand,europe-west9,4.556573,USD,GCP Cloud Billing Catalog API,A100
GCP,0E68-1A61-2291,Nvidia H100 80GB GPU attached to DWS Defined Duration VMs running in Sydney,Compute,GPU,OnDemand,australia-southeast1,4.200761,USD,GCP Cloud Billing Catalog API,H100
GCP,0E97-4AD5-6BF9,Commitment v1: Nvidia Tesla T4 GPU running in Netherlands for 3 Year,Compute,GPU,Commit3Yr,europe-west4,0.15,USD,GCP Cloud Billing Catalog API,T4
GCP,0E9B-6E9B-8D85,Nvidia Tesla A100 80GB GPU attached to Spot Preemptible VMs running in Dallas,Compute,GPU,Preemptible,us-south1,0.7555,USD,GCP Cloud Billing Catalog API,A100
GCP,0EA1-9D73-CE19,Nvidia H100 Mega 80GB GPU attached to DWS Defined Duration VMs running in Singapore,Compute,GPU,OnDemand,asia-southeast1,4.423936,USD,GCP Cloud Billing Catalog API,H100
GCP,0EB6-A180-181A,Nvidia Tesla P4 GPU attached to Spot Preemptible VMs running in Dallas,Compute,GPU,Preemptible,us-south1,0.2421,USD,GCP Cloud Billing Catalog API,P4
GCP,0EBE-8035-50B8,Commitment v1: Nvidia Tesla A100 80GB GPU running in Santiago for 3 Years,Compute,GPU,Commit3Yr,southamerica-west1,4.428124,USD,GCP Cloud Billing Catalog API,A100
GCP,0EE7-70A1-95E9,Reserved Nvidia H100 80GB GPU in Milan in Calendar Mode,Compute,GPU,OnDemand,europe-west8,4.570090841,USD,GCP Cloud Billing Catalog API,H100
GCP,0EED-20E8-4F18,Commitment v1: Nvidia Tesla A100 GPU running in Osaka for 3 Year,Compute,GPU,Commit3Yr,asia-northeast2,1.091056239,USD,GCP Cloud Billing Catalog API,A100
GCP,0EFA-3A56-0BFC,DWS Calendar Mode A4 Nvidia B200 (1 gpu slice) in Americas,Compute,GPU,OnDemand,"us-west1,us-central1,us-east1",11.277,USD,GCP Cloud Billing Catalog API,Blackwell (B200)
GCP,0F12-8A74-9EA6,Commitment v1: Nvidia H100 80GB GPU running in Phoenix for 3 Years,Compute,GPU,Commit3Yr,us-west8,4.299899,USD,GCP Cloud Billing Catalog API,H100
GCP,0F63-D36A-1622,Commitment v1: Nvidia Tesla A100 GPU running in Los Angeles for 3 Year,Compute,GPU,Commit3Yr,us-west2,1.155244678,USD,GCP Cloud Billing Catalog API,A100
GCP,0F65-29A4-7662,Commitment v1: Nvidia Tesla A100 GPU running in Finland for 3 Year,Compute,GPU,Commit3Yr,europe-north1,1.0268678,USD,GCP Cloud Billing Catalog API,A100
GCP,0F71-4391-B6CA,TPU7x running in Americas,Compute,TPU,OnDemand,"us-west1,us-central1,us-east1",12.0,USD,GCP Cloud Billing Catalog API,TPU v7
GCP,0F72-2134-6F78,Commitment v1: Nvidia Tesla P100 GPU running in Las Vegas for 1 Year,Compute,GPU,Commit1Yr,us-west4,0.919,USD,GCP Cloud Billing Catalog API,P100
GCP,0F9C-3328-58B9,Commitment v1: Nvidia L4 GPU running in Tokyo for 3 Years,Compute,GPU,Commit3Yr,asia-northeast1,0.3236417,USD,GCP Cloud Billing Catalog API,L4
GCP,0FB8-DEC0-3D83,Nvidia H100 80GB GPU running in Dammam,Compute,GPU,OnDemand,me-central2,15.67448,USD,GCP Cloud Billing Catalog API,H100
