provider,service_code,service_name,service_title,category,source,collection_date,category_v2,category_v3
AWS,AWSCodePipeline,AWSCodePipeline,AWSCodePipeline,DevOps,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AmazonKinesis,AmazonKinesis,AmazonKinesis,Analytics,AWS Price List Offer Index,2026-05-28,Analytics,Analytics
AWS,CodeBuild,CodeBuild,CodeBuild,DevOps,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AmazonEFS,AmazonEFS,AmazonEFS,Storage,AWS Price List Offer Index,2026-05-28,Storage,Storage
AWS,AWSCodeArtifact,AWSCodeArtifact,AWSCodeArtifact,DevOps,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AmazonBedrockService,AmazonBedrockService,AmazonBedrockService,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AWSSupportBusiness,AWSSupportBusiness,AWSSupportBusiness,Billing / Support,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AWSElementalMediaTailor,AWSElementalMediaTailor,AWSElementalMediaTailor,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AWSDeveloperSupport,AWSDeveloperSupport,AWSDeveloperSupport,Billing / Support,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,mobileanalytics,mobileanalytics,mobileanalytics,Analytics,AWS Price List Offer Index,2026-05-28,Analytics,Analytics
AWS,AWSStorageGatewayDeepArchive,AWSStorageGatewayDeepArchive,AWSStorageGatewayDeepArchive,Storage,AWS Price List Offer Index,2026-05-28,Storage,Storage
AWS,IoTDeviceDefender,IoTDeviceDefender,IoTDeviceDefender,Security,AWS Price List Offer Index,2026-05-28,Security,Security
AWS,AmazonRedshift,AmazonRedshift,AmazonRedshift,Analytics,AWS Price List Offer Index,2026-05-28,Analytics,Analytics
AWS,AmazonSageMaker,AmazonSageMaker,AmazonSageMaker,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AmazonECS,AmazonECS,AmazonECS,Compute,AWS Price List Offer Index,2026-05-28,Compute,Compute
AWS,AmazonKinesisAnalytics,AmazonKinesisAnalytics,AmazonKinesisAnalytics,Analytics,AWS Price List Offer Index,2026-05-28,Analytics,Analytics
AWS,AmazonWorkMail,AmazonWorkMail,AmazonWorkMail,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AWSQueueService,AWSQueueService,AWSQueueService,Messaging / Integration,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AmazonEC2,AmazonEC2,AmazonEC2,Compute,AWS Price List Offer Index,2026-05-28,Compute,Compute
AWS,AWSBackup,AWSBackup,AWSBackup,Storage,AWS Price List Offer Index,2026-05-28,Storage,Storage
AWS,AmazonSNS,AmazonSNS,AmazonSNS,Messaging / Integration,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AmazonFSx,AmazonFSx,AmazonFSx,Storage,AWS Price List Offer Index,2026-05-28,Storage,Storage
AWS,AmazonDynamoDB,AmazonDynamoDB,AmazonDynamoDB,Database,AWS Price List Offer Index,2026-05-28,Database,Database
AWS,IoTDeviceManagement,IoTDeviceManagement,IoTDeviceManagement,Management,AWS Price List Offer Index,2026-05-28,Management,Management
AWS,awskms,awskms,awskms,Security,AWS Price List Offer Index,2026-05-28,Security,Security
AWS,AWSTelcoNetworkBuilder,AWSTelcoNetworkBuilder,AWSTelcoNetworkBuilder,Networking,AWS Price List Offer Index,2026-05-28,Networking,Networking
AWS,AmazonEKSAnywhere,AmazonEKSAnywhere,AmazonEKSAnywhere,Compute,AWS Price List Offer Index,2026-05-28,Compute,Compute
AWS,AWSIoTEvents,AWSIoTEvents,AWSIoTEvents,Messaging / Integration,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,translate,translate,translate,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AmazonAthena,AmazonAthena,AmazonAthena,Analytics,AWS Price List Offer Index,2026-05-28,Analytics,Analytics
AWS,AWSSupportEnterprise,AWSSupportEnterprise,AWSSupportEnterprise,Billing / Support,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AWSEvents,AWSEvents,AWSEvents,Messaging / Integration,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AWSIoTAnalytics,AWSIoTAnalytics,AWSIoTAnalytics,Analytics,AWS Price List Offer Index,2026-05-28,Analytics,Analytics
AWS,AWSCloudTrail,AWSCloudTrail,AWSCloudTrail,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AWSLambda,AWSLambda,AWSLambda,Compute,AWS Price List Offer Index,2026-05-28,Compute,Compute
AWS,AmazonLightsail,AmazonLightsail,AmazonLightsail,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AmazonBedrock,AmazonBedrock,AmazonBedrock,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AmazonDevOpsGuru,AmazonDevOpsGuru,AmazonDevOpsGuru,DevOps,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AmazonVPC,AmazonVPC,AmazonVPC,Networking,AWS Price List Offer Index,2026-05-28,Networking,Networking
AWS,AWSSupplyChain,AWSSupplyChain,AWSSupplyChain,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AmazonKinesisFirehose,AmazonKinesisFirehose,AmazonKinesisFirehose,Analytics,AWS Price List Offer Index,2026-05-28,Analytics,Analytics
AWS,AuroraDSQL,AuroraDSQL,AuroraDSQL,Database,AWS Price List Offer Index,2026-05-28,Database,Database
AWS,AmazonBedrockAgentCore,AmazonBedrockAgentCore,AmazonBedrockAgentCore,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AmazonBedrockFoundationModels,AmazonBedrockFoundationModels,AmazonBedrockFoundationModels,AI / Machine Learning,AWS Price List Offer Index,2026-05-28,AI / Machine Learning,AI / Machine Learning
AWS,AmazonEC2OCPULicenseFees,AmazonEC2OCPULicenseFees,AmazonEC2OCPULicenseFees,Compute,AWS Price List Offer Index,2026-05-28,Compute,Compute
AWS,DevOpsAgent,DevOpsAgent,DevOpsAgent,DevOps,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AWSSupportEssential,AWSSupportEssential,AWSSupportEssential,Billing / Support,AWS Price List Offer Index,2026-05-28,Other,Other
AWS,AWSSecurityIncidentResponse,AWSSecurityIncidentResponse,AWSSecurityIncidentResponse,Security,AWS Price List Offer Index,2026-05-28,Security,Security
AWS,AWSUnifiedOperations,AWSUnifiedOperations,AWSUnifiedOperations,Management,AWS Price List Offer Index,2026-05-28,Management,Management
AWS,AWSInterconnect,AWSInterconnect,AWSInterconnect,Networking,AWS Price List Offer Index,2026-05-28,Networking,Networking
AWS,AMSOperations,AMSOperations,AMSOperations,Management,AWS Price List Offer Index,2026-05-28,Management,Management
Azure,Virtual Machines,Virtual Machines,Virtual Machines,Compute,Curated Azure Service Catalog,2026-05-28,Other,Compute
Azure,Azure Kubernetes Service,Azure Kubernetes Service,Azure Kubernetes Service,Compute,Curated Azure Service Catalog,2026-05-28,Compute,Compute
Azure,Azure Functions,Azure Functions,Azure Functions,Compute,Curated Azure Service Catalog,2026-05-28,Compute,Compute
Azure,Azure Container Instances,Azure Container Instances,Azure Container Instances,Compute,Curated Azure Service Catalog,2026-05-28,Compute,Compute
Azure,Blob Storage,Blob Storage,Blob Storage,Storage,Curated Azure Service Catalog,2026-05-28,Storage,Storage
Azure,Disk Storage,Disk Storage,Disk Storage,Storage,Curated Azure Service Catalog,2026-05-28,Storage,Storage
Azure,Queue Storage,Queue Storage,Queue Storage,Storage,Curated Azure Service Catalog,2026-05-28,Storage,Storage
Azure,Archive Storage,Archive Storage,Archive Storage,Storage,Curated Azure Service Catalog,2026-05-28,Storage,Storage
Azure,Data Lake Storage,Data Lake Storage,Data Lake Storage,Storage,Curated Azure Service Catalog,2026-05-28,Storage,Storage
Azure,Azure SQL Database,Azure SQL Database,Azure SQL Database,Database,Curated Azure Service Catalog,2026-05-28,Database,Database
Azure,Azure Database for PostgreSQL,Azure Database for PostgreSQL,Azure Database for PostgreSQL,Database,Curated Azure Service Catalog,2026-05-28,Database,Database
Azure,Azure Database for MySQL,Azure Database for MySQL,Azure Database for MySQL,Database,Curated Azure Service Catalog,2026-05-28,Database,Database
Azure,Azure Cache for Redis,Azure Cache for Redis,Azure Cache for Redis,Database,Curated Azure Service Catalog,2026-05-28,Database,Database
Azure,Azure Synapse Analytics,Azure Synapse Analytics,Azure Synapse Analytics,Analytics,Curated Azure Service Catalog,2026-05-28,Analytics,Analytics
Azure,Azure Stream Analytics,Azure Stream Analytics,Azure Stream Analytics,Analytics,Curated Azure Service Catalog,2026-05-28,Analytics,Analytics
Azure,Azure OpenAI Service,Azure OpenAI Service,Azure OpenAI Service,AI / Machine Learning,Curated Azure Service Catalog,2026-05-28,AI / Machine Learning,AI / Machine Learning
Azure,Azure Machine Learning,Azure Machine Learning,Azure Machine Learning,AI / Machine Learning,Curated Azure Service Catalog,2026-05-28,AI / Machine Learning,AI / Machine Learning
Azure,Azure AI Search,Azure AI Search,Azure AI Search,AI / Machine Learning,Curated Azure Service Catalog,2026-05-28,AI / Machine Learning,AI / Machine Learning
Azure,Azure AI Services,Azure AI Services,Azure AI Services,AI / Machine Learning,Curated Azure Service Catalog,2026-05-28,AI / Machine Learning,AI / Machine Learning
Azure,Virtual Network,Virtual Network,Virtual Network,Networking,Curated Azure Service Catalog,2026-05-28,Networking,Networking
Azure,Load Balancer,Load Balancer,Load Balancer,Networking,Curated Azure Service Catalog,2026-05-28,Networking,Networking
Azure,Application Gateway,Application Gateway,Application Gateway,Networking,Curated Azure Service Catalog,2026-05-28,Networking,Networking
Azure,Azure CDN,Azure CDN,Azure CDN,Networking,Curated Azure Service Catalog,2026-05-28,Networking,Networking
Azure,Azure DNS,Azure DNS,Azure DNS,Networking,Curated Azure Service Catalog,2026-05-28,Networking,Networking
Azure,VPN Gateway,VPN Gateway,VPN Gateway,Networking,Curated Azure Service Catalog,2026-05-28,Networking,Networking
Azure,Microsoft Defender for Cloud,Microsoft Defender for Cloud,Microsoft Defender for Cloud,Security,Curated Azure Service Catalog,2026-05-28,Security,Security
Azure,Microsoft Sentinel,Microsoft Sentinel,Microsoft Sentinel,Security,Curated Azure Service Catalog,2026-05-28,Security,Security
Azure,Azure Firewall,Azure Firewall,Azure Firewall,Security,Curated Azure Service Catalog,2026-05-28,Security,Security
Azure,Azure Monitor,Azure Monitor,Azure Monitor,Management,Curated Azure Service Catalog,2026-05-28,Management,Other
Azure,Azure Automation,Azure Automation,Azure Automation,Management,Curated Azure Service Catalog,2026-05-28,Management,Management
Azure,Azure Policy,Azure Policy,Azure Policy,Management,Curated Azure Service Catalog,2026-05-28,Management,Management
Azure,Azure Resource Manager,Azure Resource Manager,Azure Resource Manager,Management,Curated Azure Service Catalog,2026-05-28,Other,Management
GCP,0017-8C5E-5B91,OpenLogic CentOS 7.8 (v20200922) - Security Hardened,OpenLogic CentOS 7.8 (v20200922) - Security Hardened,Security,Google Cloud Billing Catalog API,2026-05-28,Security,Security
GCP,00E4-BD19-6904,Commvault Backup & Recovery  BYOL,Commvault Backup & Recovery  BYOL,Storage,Google Cloud Billing Catalog API,2026-05-28,Storage,Storage
GCP,0296-B408-6B99,MayaData Cloud File Gateway,MayaData Cloud File Gateway,Networking,Google Cloud Billing Catalog API,2026-05-28,Storage,Networking
GCP,02DA-B362-D983,Cloud Text-to-Speech API,Cloud Text-to-Speech API,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,02E3-5518-2F6D,"F5 Networks F5 Per-App VE  Advanced WAF  (PAYG, 200Mbps)","F5 Networks F5 Per-App VE  Advanced WAF  (PAYG, 200Mbps)",Networking,Google Cloud Billing Catalog API,2026-05-28,Networking,Networking
GCP,0393-AA9E-2E8F,Aiven for Redis,Aiven for Redis,Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,03C0-8240-4A98,Moodle: The Ultimate Learning Management System,Moodle: The Ultimate Learning Management System,Management,Google Cloud Billing Catalog API,2026-05-28,Management,Management
GCP,04BF-4769-E87A,VMware Tanzu Greenplum BYOL,VMware Tanzu Greenplum BYOL,Compute,Google Cloud Billing Catalog API,2026-05-28,Compute,Compute
GCP,0585-9FB4-1E3D,DataStax API (Dev),DataStax API (Dev),Billing / Support,Google Cloud Billing Catalog API,2026-05-28,Other,Other
GCP,0665-C160-E827,PostgreSQL 9.6,PostgreSQL 9.6,Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,0773-E9BA-959C,NVIDIA GPU-Optimized VMI,NVIDIA GPU-Optimized VMI,Compute,Google Cloud Billing Catalog API,2026-05-28,Other,Compute
GCP,0B9E-6C8C-DD9D,JENKINS,JENKINS,DevOps,Google Cloud Billing Catalog API,2026-05-28,Other,Other
GCP,0BB0-D027-38CF,PREDICTIVE ANALYTICS FRAMEWORK R HADOOP,PREDICTIVE ANALYTICS FRAMEWORK R HADOOP,Analytics,Google Cloud Billing Catalog API,2026-05-28,Analytics,Analytics
GCP,0BCC-06B3-2936,FortiGate Next-Generation Firewall (PAYG),FortiGate Next-Generation Firewall (PAYG),Security,Google Cloud Billing Catalog API,2026-05-28,Security,Security
GCP,0CE3-7ECE-F8E8,Money Saver VM,Money Saver VM,Compute,Google Cloud Billing Catalog API,2026-05-28,Other,Compute
GCP,0E0F-DA3F-B05F,OrangeHRM-The Ultimate HR Management Solution,OrangeHRM-The Ultimate HR Management Solution,Management,Google Cloud Billing Catalog API,2026-05-28,Management,Management
GCP,0E69-0162-6B36,"AI/ML development, training & inference using Python & Jupyter","AI/ML development, training & inference using Python & Jupyter",AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,0F0F-56A0-A324,openlitespeed-rails,openlitespeed-rails,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,0F7C-A0C5-C2B7,NVIDIA GPU-Optimized TensorFlow VMI,NVIDIA GPU-Optimized TensorFlow VMI,Compute,Google Cloud Billing Catalog API,2026-05-28,Other,Compute
GCP,1144-8BC5-52F6,MayaScale Composable NVMe Disaggregate Shared Storage ,MayaScale Composable NVMe Disaggregate Shared Storage ,Compute,Google Cloud Billing Catalog API,2026-05-28,Storage,Compute
GCP,116A-ED39-D1F0,Database Migration,Database Migration,Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,12BA-A8F0-838E,claire-auto-demo,claire-auto-demo,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,1394-64A3-F0C6,Deep Learning VM,Deep Learning VM,Compute,Google Cloud Billing Catalog API,2026-05-28,Other,Compute
GCP,149C-F9EC-3994,Artifact Registry,Artifact Registry,DevOps,Google Cloud Billing Catalog API,2026-05-28,Other,Other
GCP,14E6-EF9E-CFBC,Weka Machine Learning on Windows 2019,Weka Machine Learning on Windows 2019,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,14E7-BA84-3B4D,DataStax Distribution of Apache Cassandra 8x5 Support,DataStax Distribution of Apache Cassandra 8x5 Support,Billing / Support,Google Cloud Billing Catalog API,2026-05-28,Other,Other
GCP,152E-C115-5142,Cloud Run,Cloud Run,Compute,Google Cloud Billing Catalog API,2026-05-28,Compute,Compute
GCP,1535-C8C3-9833,Jenkins-automation,Jenkins-automation,Management,Google Cloud Billing Catalog API,2026-05-28,Management,Management
GCP,158F-556F-4845,Active Directory Domain Controller 2019,Active Directory Domain Controller 2019,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,169F-7D34-4D47,Mediawiki: Collaborative Knowledge Management,Mediawiki: Collaborative Knowledge Management,Management,Google Cloud Billing Catalog API,2026-05-28,Management,Management
GCP,16B8-3DDA-9F10,BigQuery Reservation API,BigQuery Reservation API,Analytics,Google Cloud Billing Catalog API,2026-05-28,Analytics,Analytics
GCP,177D-86F1-48C9,Google Quickstart Simple pre-configured Debian VM,Google Quickstart Simple pre-configured Debian VM,Compute,Google Cloud Billing Catalog API,2026-05-28,Management,Compute
GCP,1866-8E60-9018,Airlock Gateway 7.7,Airlock Gateway 7.7,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,18FC-D122-7B50,CloudBees Jenkins Support,CloudBees Jenkins Support,DevOps,Google Cloud Billing Catalog API,2026-05-28,Other,Other
GCP,1BD3-107D-60B7,QRadar Security Intelligence Platform Console v7.3.2 P1,QRadar Security Intelligence Platform Console v7.3.2 P1,Security,Google Cloud Billing Catalog API,2026-05-28,Security,Security
GCP,1BDF-7F3C-8605,Redmine on PostgreSQL,Redmine on PostgreSQL,Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,1C58-CF90-9614,Firebase Realtime Database,Firebase Realtime Database,Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,1CB2-E83D-FE7E,Active Directory Domain Controller 2016,Active Directory Domain Controller 2016,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,1D85-EB86-2067,Rakuten Symphony Symcloud Storage,Rakuten Symphony Symcloud Storage,Storage,Google Cloud Billing Catalog API,2026-05-28,Storage,Storage
GCP,1DB1-3CD3-35A3,Translate,Translate,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,1E0A-E060-C394,AISE PyTorch CPU Production,AISE PyTorch CPU Production,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,1ED8-3C3C-1F3C,NVIDIA Image for AI using GPUs - Optimized for TensorFlow,NVIDIA Image for AI using GPUs - Optimized for TensorFlow,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,1F12-0A0C-1719,"Ionic Security, Inc. Ionic Machina","Ionic Security, Inc. Ionic Machina",Security,Google Cloud Billing Catalog API,2026-05-28,Security,Security
GCP,1F19-3B91-C65D,Mautic: The Ultimate Marketing Automation Platform,Mautic: The Ultimate Marketing Automation Platform,Management,Google Cloud Billing Catalog API,2026-05-28,Management,Management
GCP,1FF1-FC11-1AC7,vmware-sdwan,vmware-sdwan,Compute,Google Cloud Billing Catalog API,2026-05-28,Compute,Compute
GCP,2024-A713-F326,Fortinet FortiWeb Web Application Firewall WAF (BYOL),Fortinet FortiWeb Web Application Firewall WAF (BYOL),Security,Google Cloud Billing Catalog API,2026-05-28,Networking,Security
GCP,210D-F9A5-C051,Unravel for Dataproc,Unravel for Dataproc,Analytics,Google Cloud Billing Catalog API,2026-05-28,Analytics,Analytics
GCP,2123-DACF-C407,Modshield SB - Web Application Firewall,Modshield SB - Web Application Firewall,Security,Google Cloud Billing Catalog API,2026-05-28,Security,Security
GCP,2219-D3C2-A06A,"Vertica Data Warehouse, Enterprise BYOL","Vertica Data Warehouse, Enterprise BYOL",Analytics,Google Cloud Billing Catalog API,2026-05-28,Other,Analytics
GCP,22C2-A2F8-3601,Tempered Networks Conductor v2.1,Tempered Networks Conductor v2.1,Networking,Google Cloud Billing Catalog API,2026-05-28,Networking,Networking
GCP,22EC-D055-264B,RubyRails,RubyRails,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,2379-84F2-4450,Sense Traffic Pulse™ and Cloud AutoML,Sense Traffic Pulse™ and Cloud AutoML,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,238F-572F-F2D2,DiscrimiNAT Firewall,DiscrimiNAT Firewall,Security,Google Cloud Billing Catalog API,2026-05-28,Security,Security
GCP,2401-8234-89C6,Shadowsocks VPN,Shadowsocks VPN,Networking,Google Cloud Billing Catalog API,2026-05-28,Networking,Networking
GCP,24B7-B9B6-2270,Simple pre-configured Debian VM,Simple pre-configured Debian VM,Compute,Google Cloud Billing Catalog API,2026-05-28,Management,Compute
GCP,24E6-581D-38E5,BigQuery,BigQuery,Analytics,Google Cloud Billing Catalog API,2026-05-28,Analytics,Analytics
GCP,2672-E413-ACAC,"DataSunrise Database Security, Data Masking and Compliance","DataSunrise Database Security, Data Masking and Compliance",Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,26CA-A975-F471,Dynamic AI Demo,Dynamic AI Demo,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,278F-D51F-3660,gloo-enterprise-subscription,gloo-enterprise-subscription,Billing / Support,Google Cloud Billing Catalog API,2026-05-28,Other,Other
GCP,27A6-BEA7-CB50,Redis Enterprise Cloud,Redis Enterprise Cloud,Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,2852-5DD1-BBD6,OroCommerce VM,OroCommerce VM,Compute,Google Cloud Billing Catalog API,2026-05-28,Other,Compute
GCP,2872-9FA7-9E8C,Check Point CloudGuard Network Security Autoscaling (BYOL),Check Point CloudGuard Network Security Autoscaling (BYOL),Networking,Google Cloud Billing Catalog API,2026-05-28,Networking,Networking
GCP,28D7-5455-635F,Mautic: The Ultimate Marketing Automation Platform,Mautic: The Ultimate Marketing Automation Platform,Management,Google Cloud Billing Catalog API,2026-05-28,Management,Management
GCP,293B-D409-8EE0,Telecom Network Automation,Telecom Network Automation,Networking,Google Cloud Billing Catalog API,2026-05-28,Networking,Networking
GCP,29E7-DA93-CA13,Cloud Run Functions,Cloud Run Functions,Compute,Google Cloud Billing Catalog API,2026-05-28,Compute,Compute
GCP,2A06-2FFD-D8DC,DataStax Distribution of Apache Cassandra 24x7 Support,DataStax Distribution of Apache Cassandra 24x7 Support,Billing / Support,Google Cloud Billing Catalog API,2026-05-28,Other,Other
GCP,2A50-F3DA-21A7,LABS.AI E.D.D.I - Open Source Chatbot Platform,LABS.AI E.D.D.I - Open Source Chatbot Platform,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,2B5C-ED7A-1A76,PowerProtect DD Management Center (DDMC),PowerProtect DD Management Center (DDMC),Management,Google Cloud Billing Catalog API,2026-05-28,Management,Management
GCP,2BCF-F8B8-7A17,ThoughtSpot Search & AI-driven Analytics (BYOL),ThoughtSpot Search & AI-driven Analytics (BYOL),Analytics,Google Cloud Billing Catalog API,2026-05-28,Analytics,Analytics
GCP,2C3C-19A2-6493,ScaiPlatform - Free Real-Time Business Intelligence & Analytics,ScaiPlatform - Free Real-Time Business Intelligence & Analytics,Analytics,Google Cloud Billing Catalog API,2026-05-28,Analytics,Analytics
GCP,2C40-ECFA-CF91,EnterpriseDB EDB Postgres Enterprise,EnterpriseDB EDB Postgres Enterprise,Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,2D30-29F4-BA40,Jenkins,Jenkins,DevOps,Google Cloud Billing Catalog API,2026-05-28,Other,Other
GCP,2DD4-A2EB-B906,FlashGrid Cluster for Oracle RAC / SI Database (RH7),FlashGrid Cluster for Oracle RAC / SI Database (RH7),Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,2E1B-23BA-2D14,Couchbase Sync Gateway,Couchbase Sync Gateway,Networking,Google Cloud Billing Catalog API,2026-05-28,Networking,Networking
GCP,2E6C-5FE3-D0D2,MariaDB Managed Database,MariaDB Managed Database,Database,Google Cloud Billing Catalog API,2026-05-28,Database,Database
GCP,2E8A-C97C-C946,H2O.ai Driverless AI (BYOL),H2O.ai Driverless AI (BYOL),AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,2EC9-6E36-8614,AutoML Neuton,AutoML Neuton,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,2ECC-231D-63E6,vsrx Next Generation Firewall-BYOL,vsrx Next Generation Firewall-BYOL,Security,Google Cloud Billing Catalog API,2026-05-28,Security,Security
GCP,30D7-9CCE-CC0B,Cloudup Joomla  on Debian 9,Cloudup Joomla  on Debian 9,AI / Machine Learning,Google Cloud Billing Catalog API,2026-05-28,AI / Machine Learning,AI / Machine Learning
GCP,30DD-FBBD-FC49,"F5 Networks F5 Advanced WAF  (PAYG, 25Mbps)","F5 Networks F5 Advanced WAF  (PAYG, 25Mbps)",Networking,Google Cloud Billing Catalog API,2026-05-28,Networking,Networking
GCP,31B7-A308-38F7,Anthos Policy Controller,Anthos Policy Controller,Management,Google Cloud Billing Catalog API,2026-05-28,Management,Management
